Name,Pos,Org,Top 100,Org Rk,Age,Hit,Pitch Sel,Bat Ctrl,Game,Raw,Spd,Fld,Avg EV,Hard Hit%,Max EV,FV,playerId
"Anthony Servideo","SS","BAL",,15,"22.2333333","30 / 50",55,45,"35 / 45","45 / 50","55 / 55","45 / 55",88,,104,"40+","sa3014472"
"Adam Hall","SS","BAL",,16,"22.0361111","30 / 45",45,50,"30 / 40","45 / 45","60 / 60","45 / 50",87,0.36,104,"40+","sa3005077"
"Jeremy De La Rosa","RF","WSN",,5,"19.3861111","20 / 50",45,45,"20 / 55","55 / 60","50 / 50","35 / 45",89,,107,"40+","sa3011329"
"Daniel Cabrera","LF","DET",,12,"22.75","35 / 55",55,60,"30 / 50","50 / 55","45 / 45","45 / 50",87,0.31,104,"40+","sa3014452"
"Nick Quintana","3B","DET",,13,"23.6444444","35 / 50",50,40,"30 / 50","55 / 55","40 / 40","50 / 60",87,,105,"40+","sa3010390"
"Brent Rooker","1B","MIN",,12,"26.5944444","35 / 40",50,45,"50 / 60","65 / 65","40 / 40","35 / 40",92,0.56,109,"40+","19627"
"Matt Wallner","RF","MIN",,15,"23.4805555","30 / 45",60,40,"35 / 60","70 / 70","40 / 35","45 / 50",89,0.4,105,"40+","sa918808"
"Nick Yorke","2B","BOS",,16,"19.175","25 / 60",50,60,"20 / 40","40 / 45","50 / 45","30 / 40",,,,"40+","sa3014546"
"Jeisson Rosario","CF","BOS",,18,"21.6194444","40 / 50",65,60,"30 / 30","40 / 45","60 / 60","45 / 60",86,0.23,103,"40+","sa3004146"
"Freudis Nova","2B","HOU",,12,"21.3972222","30 / 45",35,50,"35 / 55","55 / 60","50 / 45","40 / 45",83,,104,"40+","sa3003195"
"Ricardo Genoves","C","SFG",,15,"22.0583333","30 / 45",50,40,"30 / 45","55 / 60","20 / 20","45 / 50",90,0.48,108,"40+","sa916844"
"Casey Schmitt","3B","SFG",,16,"22.2611111","30 / 55",45,55,"35 / 45","50 / 55","40 / 40","45 / 55",,,,"40+","sa3014484"
"Jairo Pomares","CF","SFG",,18,"20.8361111","35 / 55",45,55,"30 / 40","45 / 50","55 / 50","45 / 50",90,0.4,108,"40+","sa3010023"
"Alex Ramirez","CF","NYM",,9,"18.3944444","20 / 50",,,"20 / 55","40 / 55","55 / 55","40 / 50",,,,"40+","sa3014695"
"MJ Melendez","C","KCR",,13,"22.5166666","20 / 30",50,20,"30 / 45","55 / 60","45 / 40","45 / 55",89,,106,"40+","sa3004139"
"Nick Pratto","1B","KCR",,14,"22.6638888","40 / 45",60,40,"45 / 55","55 / 55","40 / 40","55 / 60",86,,106,"40+","sa3004138"
"Oswaldo Cabrera","2B","NYY",,16,"22.2611111","35 / 55",40,60,"30 / 40","40 / 45","50 / 50","45 / 50",90,0.4,105,"40+","sa916954"
"Fidel Montero","RF","NYY",,17,"17.4611111","20 / 45",,,"25 / 55","55 / 70","60 / 50","30 / 50",,,,"40+",
"Jhon Torres","RF","STL",,9,"21.1833333","30 / 50",55,45,"30 / 55","55 / 60","50 / 40","40 / 50",84,,106,"40+","sa3003233"
"Everson Pereira","CF","NYY",,18,"20.1527777","35 / 50",,,"30 / 50","50 / 50","55 / 55","45 / 55",89,,108,"40+","sa3007034"
"Luken Baker","1B","STL",,10,"24.2361111","35 / 40",55,40,"35 / 60","70 / 70","30 / 20","40 / 45",91,,109,"40+","sa3008267"
"Tre Fletcher","CF","STL",,11,"20.0972222","20 / 40",40,40,"25 / 50","55 / 60","60 / 55","40 / 50",87,,104,"40+","sa3010709"
"Denzer Guzman","2B","LAA",,14,"17.325","25 / 50",,40,"20 / 40","40 / 50","45 / 40","40 / 50",,,,"40",
"Alika Williams","SS","TBR",,27,"22.2305555","35 / 55",,60,"20 / 30","35 / 40","60 / 60","50 / 60",,,,"40","sa3014427"
"Orlando Martinez","LF","LAA",,18,"23.3","40 / 50",40,55,"40 / 45","50 / 50","45 / 45","55 / 55",87,,105,"40","sa3006664"
"Bryan Ramos","3B","CHW",,13,"19.2305555","20 / 50",45,45,"25 / 50","50 / 55","50 / 45","40 / 50",86,0.33,106,"40","sa3010024"
"Pedro Martinez","2B","TBR",,29,"20.3527777","35 / 50",55,55,"30 / 50","45 / 50","45 / 40","40 / 50",86,0.27,100,"40","sa3005795"
"Livan Soto","SS","LAA",,20,"20.9527777","35 / 45",50,65,"30 / 30","35 / 40","55 / 55","50 / 55",80,,94,"40","sa3004264"
"Yermin Mercedes","DH","CHW",,15,"28.3083333","55 / 55",30,60,"50 / 50","60 / 60","30 / 30","20 / 20",89,0.4,109,"40","17423"
"Werner Blakely","3B","LAA",,21,"19.2888888","20 / 40",,,"20 / 50","40 / 60","45 / 40","35 / 55",,,,"40","sa3014502"
"Luis Gonzalez","RF","CHW",,16,"25.7361111","50 / 55",45,55,"30 / 30","45 / 45","55 / 55","45 / 50",87,0.31,103,"40","20332"
"Blake Rutherford","LF","CHW",,17,"24.0916666","40 / 45",50,45,"45 / 50","50 / 50","50 / 50","50 / 50",87,0.46,106,"40","sa917932"
"Curtis Mead","LF","TBR",,33,"20.6083333","25 / 50",40,50,"20 / 50","45 / 55","45 / 40","40 / 50",89,0.35,103,"40","sa3008392"
"Yolbert Sanchez","SS","CHW",,18,"24.2555555","30 / 45",,,"30 / 35","45 / 45","60 / 60","50 / 55",89,0.26,101,"40","sa3011471"
"Lenyn Sosa","2B","CHW",,20,"21.3611111","35 / 55",30,55,"30 / 45","45 / 55","40 / 30","30 / 40",86,0.27,102,"40","sa3004051"
"Leonardo Rivas","2B","CIN",,25,"23.6527777","35 / 50",60,50,"20 / 30","35 / 40","70 / 70","45 / 50",86,,101,"40","sa872542"
"Tanner Dodson","SIRP/CF","TBR",,36,"24.0722222","35 / 55",45,50,"30 / 30","40 / 40","60 / 60","40 / 45",,,103,"40","sa3007008"
"Seby Zavala","C","CHW",,21,"27.7694444","30 / 30",50,35,"40 / 45","55 / 55","30 / 30","50 / 50",87,0.4,104,"40","18887"
"Tyler Frank","2B","TBR",,37,"24.3888888","35 / 55",55,55,"30 / 40","45 / 45","50 / 50","45 / 50",86,,107,"40","sa3006660"
"James Beard","CF","CHW",,22,"20.6972222","20 / 40",,,"20 / 35","30 / 40","80 / 80","40 / 70",82,0.25,102,"40","sa3010038"
"Abiezel Ramirez","SS","TBR",,38,"21.3583333","35 / 50",50,55,"30 / 45","50 / 55","60 / 60","40 / 50",89,0.45,100,"40","sa3003282"
"Gavin Sheets","1B","CHW",,24,"25.1166666","45 / 50",50,55,"45 / 50","70 / 70","30 / 30","40 / 50",88,0.4,110,"40","sa829797"
"Jackson Miller","C","CIN",,15,"19.4222222","20 / 40",,40,"25 / 45","40 / 50","40 / 30","30 / 45",,,97,"40","sa3014529"
"Nick Maton","SS","PHI",,16,"24.2972222","35 / 40",55,35,"40 / 45","45 / 45","55 / 55","50 / 50",87,0.28,103,"40","21635"
"Allan Cerda","RF","CIN",,21,"21.5305555","30 / 40",55,40,"35 / 55","50 / 60","50 / 50","40 / 50",89,0.44,106,"40","sa3005504"
"Jorbit Vivas","2B","LAD",,23,"20.2388888","35 / 55",45,55,"25 / 45","35 / 40","45 / 45","40 / 50",84,0.28,103,"40","sa3005511"
"TJ Friedl","CF","CIN",,23,"25.8083333","45 / 55",60,50,"30 / 35","40 / 40","70 / 70","50 / 55",84,0.24,103,"40","sa943754"
"Jake Vogel","CF","LAD",,27,"19.6472222","25 / 50",,55,"20 / 35","40 / 45","70 / 70","45 / 60",,,,"40","sa3014473"
"James Outman","CF","LAD",,31,"24.0583333","30 / 40",50,40,"40 / 50","50 / 55","60 / 60","50 / 55",89,0.37,106,"40","sa3007312"
"Sheldon Neuse","3B","LAD",,32,"26.4861111","35 / 40",45,45,"35 / 55","60 / 60","40 / 40","45 / 50",91,,,"40","19635"
"Jhailyn Ortiz","1B","PHI",,26,"22.5472222","30 / 40",35,45,"35 / 60","70 / 70","40 / 30","35 / 40",88,0.36,110,"40","sa920180"
"Zach Reks","DH","LAD",,33,"27.5638888","45 / 45",55,50,"45 / 50","55 / 55","45 / 45","30 / 30",91,0.49,107,"40","sa3004166"
"Rodolfo Duran","C","PHI",,27,"23.2944444","35 / 45",35,50,"35 / 40","50 / 50","40 / 40","50 / 55",89,,107,"40","sa877500"
"Brandon Lewis","1B","LAD",,34,"22.6166666","30 / 50",45,45,"30 / 50","55 / 55","30 / 30","35 / 45",89,0.39,107,"40","sa3010035"
"Cristian Santana","3B","LAD",,36,"24.2805555","30 / 45",20,60,"40 / 55","60 / 65","40 / 40","50 / 60",90,0.49,109,"40","sa829387"
"Cristian Santana","3B","LAD",,36,"24.2805555","30 / 45",20,60,"40 / 55","60 / 65","40 / 40","50 / 60",90,0.49,109,"40","sa829387"
"Omar Estevez","2B","LAD",,37,"23.2777777","45 / 55",50,55,"40 / 45","50 / 50","30 / 30","35 / 40",88,0.41,107,"40","sa914242"
"Stuart Fairchild","CF","ARI",,23,"25.2166666","40 / 45",50,55,"35 / 45","50 / 50","55 / 55","50 / 50",88,0.38,105,"40","sa829822"
"Jeferson Espinal","CF","ARI",,24,"18.9944444","20 / 50",40,40,"20 / 40","40 / 45","60 / 60","45 / 60",81,0.1,97,"40","sa3008793"
"Yonny Hernandez","SS","TEX",,28,"23.0861111","50 / 60",60,60,"20 / 20","30 / 30","60 / 60","50 / 55",82,,,"40","sa872473"
"Andrew Young","2B","ARI",,25,"27.0694444","45 / 45",50,40,"45 / 50","55 / 55","40 / 40","40 / 40",88,0.44,108,"40","19521"
"A.J. Vukovich","1B","ARI",,26,"19.875","20 / 45",,,"25 / 55","60 / 70","30 / 20","35 / 45",,,108,"40","sa3014525"
"Luisangel Acuna","2B","TEX",,31,"19.2305555","25 / 50",,,"20 / 40","40 / 45","55 / 55","40 / 45",,,,"40","sa3008765"
"David Garcia","C","TEX",,32,"21.3305555","35 / 55",55,55,"30 / 40","40 / 45","30 / 30","45 / 55",87,,,"40","sa3003197"
"Alvin Guzman","CF","ARI",,30,"19.625","20 / 40",35,30,"20 / 50","45 / 55","60 / 60","40 / 55",87,0.3,101,"40","sa3008748"
"Sherten Apostel","1B","TEX",,34,"22.2333333","35 / 40",70,45,"45 / 50","60 / 60","30 / 30","40 / 45",92,,,"40","21794"
"Yosy Galan","OF","TEX",,35,"20.1111111","20 / 40",,,"25 / 60","70 / 80","50 / 50","30 / 45",,,,"40",
"Neyfy Castillo","1B","ARI",,33,"20.2583333","30 / 40",35,55,"35 / 55","50 / 60","45 / 40","40 / 50",89,0.44,107,"40","sa3005544"
"Isaiah Greene","CF","CLE",,28,"19.7666666","20 / 45",,45,"25 / 50","45 / 55","60 / 60","40 / 55",,,,"40","sa3014460"
"Bryan Lavastida","C","CLE",,30,"22.5222222","30 / 45",50,40,"35 / 40","50 / 55","30 / 30","30 / 45",89,0.39,104,"40","sa3006917"
"Jake Guenther","1B","TEX",,39,"24.0527777","50 / 55",,60,"35 / 40","45 / 45","40 / 40","45 / 45",,,,"40","sa3011263"
"Richard Palacios","2B","CLE",,31,"24.0527777","35 / 60",60,60,"30 / 30","40 / 40","60 / 60","45 / 50",,,,"40","sa3006908"
"Thomas Saggese","2B","TEX",,40,"19.15","25 / 60",,,"20 / 30","30 / 40","45 / 40","40 / 45",,,,"40","sa3014503"
"Jose Tena","SS","CLE",,32,"20.2083333","25 / 55",20,60,"20 / 40","40 / 45","55 / 55","40 / 50",85,0.24,106,"40","sa3005482"
"Keithron Moss","CF","TEX",,42,"19.7916666","30 / 50",50,60,"30 / 50","50 / 55","60 / 60","40 / 50",86,,,"40","sa3005599"
"Jose Fermin","SS","CLE",,35,"22.1833333","35 / 60",45,70,"20 / 30","30 / 35","55 / 55","50 / 55",84,0.28,98,"40","sa917339"
"Milan Tolentino","SS","CLE",,36,"19.55","25 / 50",,60,"20 / 30","30 / 40","55 / 55","45 / 60",,,,"40","sa3014544"
"Bobby Bradley","DH","CLE",,38,"25.0166666","30 / 35",60,35,"50 / 55","70 / 70","20 / 20","40 / 45",93,0.56,110,"40","17278"
"Alexfri Planez","RF","CLE",,39,"19.8","20 / 40",30,35,"25 / 55","50 / 60","45 / 45","40 / 50",84,,108,"40","sa3005515"
"Angel Genao","SS","CLE",,40,"17.0444444","20 / 50",,30,"20 / 45","35 / 45","50 / 50","35 / 45",,,,"40",
"Jose Devers","2B","MIA",,27,"21.4944444","50 / 60",45,60,"20 / 20","35 / 40","60 / 60","50 / 55",81,,100,"40","20540"
"Rodolfo Castro","2B","PIT",,34,"22.0388888","30 / 40",40,45,"30 / 50","50 / 55","55 / 50","45 / 50",89,0.43,104,"40","21987"
"Sergio Campana","CF","PIT",,37,"19.1833333","20 / 45",45,45,"20 / 45","45 / 50","80 / 80","45 / 60",80,0.21,100,"40","sa3009834"
"Vaughn Grissom","SS","ATL",,15,"20.4166666","20 / 45",45,45,"25 / 50","50 / 55","50 / 50","40 / 50",84,0.25,103,"40","sa3010711"
"Griffin Conine","RF","MIA",,32,"23.9","30 / 35",55,30,"35 / 60","70 / 70","45 / 40","45 / 50",94,,112,"40","sa876060"
"Trey Harris","LF","ATL",,16,"25.3888888","35 / 45",40,50,"40 / 50","55 / 55","45 / 45","45 / 50",90,0.44,107,"40","sa3006876"
"Diowill Burgos","DH","MIA",,33,"20.35","35 / 55",50,45,"35 / 50","50 / 55","30 / 30","30 / 30",89,,107,"40","sa3005740"
"Jared Triolo","3B","PIT",,39,"23.325","30 / 50",55,50,"30 / 45","50 / 50","45 / 45","50 / 55",89,0.4,104,"40","sa3010272"
"Jack Herman","RF","PIT",,40,"21.6805555","30 / 40",50,40,"35 / 55","50 / 55","40 / 40","40 / 50",89,0.42,103,"40","sa3007877"
"Lolo Sanchez","CF","PIT",,41,"22.1166666","35 / 50",40,55,"20 / 45","30 / 45","60 / 60","45 / 55",82,0.17,101,"40","sa917767"
"Jesse Franklin V","CF","ATL",,19,"22.5111111","30 / 45",50,45,"35 / 50","50 / 55","50 / 50","40 / 45",89,,105,"40","sa3014532"
"Victor Victor Mesa","CF","MIA",,36,"24.875","40 / 40",30,55,"30 / 30","50 / 50","60 / 60","60 / 60",87,,102,"40","sa3008602"
"Shalin Polanco","CF","PIT",,42,"16.4055555","20 / 50",,50,"20 / 50","40 / 50","40 / 40","40 / 50",,,,"40",
"Ambioris Tavarez","3B","ATL",,20,"17.5638888","20 / 45",,40,"20 / 55","45 / 55","45 / 40","40 / 50",,,,"40",
"Kevin Smith","SS","TOR",,14,"24.9194444","30 / 35",45,30,"45 / 50","55 / 55","55 / 55","40 / 45",89,0.41,106,"40","sa915864"
"Estiven Machado","2B","TOR",,15,"18.6694444","25 / 60",,,"20 / 30","30 / 40","55 / 55","45 / 60",,,,"40","sa3014715"
"Leo Jimenez","SS","TOR",,18,"20.05","25 / 55",45,55,"20 / 30","40 / 45","50 / 50","45 / 55",83,0.13,98,"40","sa3006891"
"Manuel Beltre","SS","TOR",,19,"16.9888888","25 / 55",,55,"20 / 40","40 / 45","55 / 55","45 / 50",,,,"40",
"Riley Adams","C","TOR",,20,"24.9416666","30 / 35",45,40,"40 / 50","60 / 60","30 / 30","40 / 45",87,0.37,108,"40","sa829749"
"Ezequiel Tovar","SS","COL",,15,"19.8444444","25 / 55",40,40,"20 / 30","30 / 40","55 / 55","50 / 60",82,,102,"40","sa3008239"
"Victor Acosta","SS","SDP",,10,"16.9861111","20 / 50",,30,"20 / 30","30 / 40","60 / 60","45 / 60",,,,"40",
"Elehuris Montero","3B","COL",,16,"22.8","30 / 40",30,55,"35 / 50","55 / 60","30 / 30","40 / 45",88,,106,"40","sa872477"
"Tucupita Marcano","2B","SDP",,11,"21.7194444","55 / 60",50,70,"20 / 30","30 / 30","60 / 60","50 / 50",82,,100,"40","22871"
"Jameson Hannah","LF","COL",,17,"23.8194444","45 / 55",45,60,"30 / 35","45 / 45","60 / 60","45 / 60",87,,104,"40","sa3007046"
"Brandon Valenzuela","C","SDP",,12,"20.675","30 / 45",,,"30 / 45","45 / 50","30 / 30","40 / 50",,,,"40","sa3005729"
"Dasan Brown","CF","TOR",,23,"19.6944444","20 / 45",45,50,"20 / 35","40 / 45","80 / 80","40 / 60",,,97,"40","sa3011717"
"Joshua Mears","LF","SDP",,13,"20.3027777","30 / 40",40,40,"35 / 60","70 / 70","50 / 40","40 / 50",85,,111,"40","sa3010162"
"Otto Lopez","2B","TOR",,24,"22.6777777","35 / 55",40,60,"20 / 30","40 / 45","60 / 60","40 / 45",85,0.27,103,"40","sa3004268"
"Eddy Diaz","2B","COL",,19,"21.3083333","35 / 55",45,55,"30 / 40","40 / 45","60 / 60","45 / 50",87,,105,"40","sa3004979"
"Nerwillian Cedeno","2B","SDP",,14,"19.2194444","25 / 60",,60,"20 / 45","30 / 40","55 / 55","40 / 50",,,,"40",
"Will Robertson","RF","TOR",,26,"23.4416666","35 / 50",45,45,"30 / 50","60 / 60","40 / 35","40 / 50",87,0.3,102,"40","sa3009879"
"Grant Lavigne","1B","COL",,21,"21.7722222","30 / 40",55,40,"35 / 50","50 / 60","40 / 30","40 / 50",86,,107,"40","sa3007743"
"Charlis Aquino","SS","SDP",,16,"19.5472222","20 / 50",,,"20 / 40","30 / 50","40 / 50","45 / 55",77,,96,"40","sa3008895"
"Tyler Nevin","1B","BAL",,17,"24.0166666","50 / 55",50,60,"40 / 45","50 / 50","35 / 35","40 / 45",89,0.42,105,"40","17893"
"Mateo Gil","SS","COL",,24,"20.8638888","30 / 40",,,"30 / 40","45 / 50","50 / 50","45 / 50",88,,106,"40","sa3007050"
"Yusniel Diaz","RF","BAL",,19,"24.6611111","45 / 50",55,55,"40 / 45","50 / 50","40 / 40","50 / 55",88,0.37,109,"40","sa912848"
"Rylan Bannon","3B","BAL",,20,"25.1194444","50 / 50",55,60,"40 / 45","45 / 45","50 / 50","40 / 40",86,0.33,105,"40","sa3004162"
"Cadyn Grenier","SS","BAL",,21,"24.5972222","30 / 35",55,40,"35 / 45","50 / 50","70 / 70","50 / 55",87,0.34,105,"40","sa3008140"
"Hudson Haskin","CF","BAL",,22,"22.4305555","35 / 55",55,60,"30 / 40","50 / 50","60 / 60","45 / 55",87,,109,"40","sa3014449"
"Euribiel Angeles","3B","SDP",,24,"19.0666666","25 / 55",,55,"20 / 45","40 / 45","50 / 50","40 / 50",,,,"40","sa3008877"
"Darell Hernaiz","SS","BAL",,24,"19.8388888","25 / 50",50,50,"20 / 45","45 / 55","50 / 45","40 / 50",84,,104,"40","sa3011309"
"Eguy Rosario","2B","SDP",,26,"21.7777777","35 / 55",50,55,"30 / 35","40 / 40","50 / 40","45 / 50",86,,103,"40","sa917140"
"Ramon Urias","2B","BAL",,27,"27.0055555","55 / 55",45,55,"40 / 40","45 / 45","40 / 40","40 / 40",91,0.47,107,"40","18795"
"Wenceel Perez","SS","DET",,14,"21.5972222","35 / 55",55,50,"30 / 30","40 / 40","60 / 60","40 / 50",84,0.2,100,"40","sa3003326"
"Israel Pineda","C","WSN",,9,"21.1722222","30 / 40",40,40,"35 / 45","45 / 50","30 / 20","40 / 45",85,,106,"40","sa3004385"
"Trei Cruz","2B","DET",,15,"22.9166666","30 / 50",55,55,"30 / 40","40 / 40","50 / 50","40 / 50",85,,105,"40","sa3014420"
"Adinso Reyes","3B","DET",,16,"19.6194444","20 / 50",,,"25 / 50","50 / 55","50 / 45","40 / 50",89,0.41,107,"40","sa3008750"
"Sammy Infante","2B","WSN",,11,"19.9527777","30 / 50",,,"30 / 50","50 / 55","50 / 40","30 / 45",,,,"40","sa3014717"
"Armando Cruz","SS","WSN",,12,"17.3861111","20 / 45",,20,"20 / 30","20 / 30","55 / 55","50 / 70",,,,"40",
"Akil Baddoo","CF","DET",,18,"22.8027777","30 / 40",55,40,"30 / 45","50 / 55","60 / 60","40 / 50",88,0.44,105,"40","22168"
"Roberto Campos","RF","DET",,19,"17.975","20 / 50",,,"25 / 55","55 / 60","45 / 40","40 / 50",,,,"40","sa3014683"
"Drew Mendoza","1B","WSN",,14,"23.6527777","30 / 30",70,40,"45 / 55","60 / 70","45 / 40","40 / 45",95,,107,"40","sa3011256"
"Gage Workman","3B","DET",,20,"21.6138888","30 / 40",50,40,"30 / 50","50 / 55","40 / 40","45 / 60",91,0.52,109,"40","sa3014441"
"Zack Short","SS","DET",,21,"26.0166666","35 / 40",60,40,"45 / 45","45 / 45","45 / 45","50 / 50",87,0.39,107,"40","19562"
"Bryant Packard","LF","DET",,22,"23.6638888","30 / 45",55,50,"35 / 55","55 / 55","30 / 30","35 / 40",86,0.3,106,"40","sa3010590"
"Colt Keith","SS","DET",,23,"19.8083333","25 / 55",,55,"25 / 50","45 / 50","40 / 35","40 / 50",,,,"40","sa3014474"
"Jake Rogers","C","DET",,24,"26.1305555","30 / 30",50,35,"40 / 50","50 / 50","40 / 40","70 / 80",90,0.48,105,"40","19452"
"Zach DeLoach","CF","SEA",,14,"22.7972222","30 / 50",,,"30 / 50","50 / 50","60 / 55","40 / 50",,,,"40","sa3014547"
"Daz Cameron","CF","DET",,26,"24.3888888","35 / 40",60,40,"40 / 45","50 / 50","50 / 50","50 / 55",88,0.39,109,"40","18353"
"Kaden Polcovich","2B","SEA",,16,"22.2888888","30 / 45",,,"30 / 45","50 / 50","60 / 60","30 / 45",,,,"40","sa3014496"
"Ryan Kreidler","3B","DET",,29,"23.5638888","35 / 55",50,50,"30 / 40","45 / 45","45 / 45","45 / 50",86,0.31,102,"40","sa3010587"
"Kody Clemens","2B","DET",,30,"25.0555555","30 / 40",45,45,"40 / 45","55 / 55","40 / 40","40 / 40",89,0.38,104,"40","sa3008002"
"Jonatan Clase","CF","SEA",,19,"19.0333333","25 / 55",60,50,"20 / 40","40 / 45","70 / 70","45 / 60",81,,97,"40","sa3008787"
"Jack Kenley","2B","DET",,31,"23.6583333","35 / 55",50,45,"30 / 40","45 / 50","50 / 50","45 / 50",82,0.23,101,"40","sa3010718"
"Milkar Perez","3B","SEA",,20,"19.6361111","25 / 55",55,50,"20 / 45","45 / 50","40 / 30","40 / 50",89,,102,"40","sa3008883"
"Alerick Soularie","2B","MIN",,16,"21.9166666","30 / 45",,,"35 / 50","50 / 55","55 / 55","45 / 55",87,,103,"40","sa3014436"
"Jake Fraley","LF","SEA",,25,"26.0277777","50 / 50",45,55,"35 / 40","45 / 45","55 / 55","50 / 55",86,,105,"40","19260"
"Emmanuel Rodriguez","CF","MIN",,19,"18.2638888","25 / 55",,,"25 / 50","45 / 55","50 / 50","40 / 50",,,,"40","sa3014693"
"Jose Miranda","2B","MIN",,20,"22.9333333","35 / 55",40,60,"30 / 50","50 / 50","50 / 45","40 / 45",89,0.4,104,"40","sa917952"
"Alberto Rodriguez","LF","SEA",,27,"20.6638888","25 / 55",50,45,"25 / 50","45 / 50","45 / 40","40 / 45",88,,105,"40","sa3005603"
"Alberto Rodriguez","LF","SEA",,27,"20.6638888","25 / 55",50,45,"25 / 50","45 / 50","45 / 40","40 / 45",88,,105,"40","sa3005603"
"Carter Bins","C","SEA",,28,"23.0666666","30 / 40",50,30,"25 / 45","55 / 55","45 / 45","40 / 50",86,,105,"40","sa1115884"
"Brainer Bonaci","3B","BOS",,19,"18.9055555","25 / 55",40,60,"20 / 40","45 / 50","40 / 30","30 / 45",88,0.27,99,"40","sa3008836"
"Hudson Potts","3B","BOS",,20,"22.6027777","30 / 35",40,45,"45 / 50","70 / 70","40 / 40","40 / 45",89,0.42,112,"40","sa917936"
"Connor Wong","C","BOS",,21,"25.0444444","30 / 35",30,45,"40 / 45","50 / 50","50 / 50","45 / 50",88,0.39,106,"40","sa873978"
"Ben Rortvedt","C","MIN",,24,"23.6944444","30 / 40",55,50,"30 / 40","50 / 50","30 / 30","40 / 45",86,0.35,103,"40","20287"
"Eduardo Lopez","CF","BOS",,22,"19.075","25 / 55",60,55,"20 / 40","40 / 50","55 / 55","45 / 60",84,0.19,100,"40","sa3009275"
"Spencer Steer","2B","MIN",,25,"23.4944444","35 / 50",50,55,"30 / 45","50 / 50","50 / 45","45 / 50",87,0.3,101,"40","sa3010586"
"Blaze Jordan","1B","BOS",,23,"18.4611111","25 / 55",50,55,"30 / 55","55 / 60","35 / 30","40 / 60",82,,103,"40","sa3014537"
"Juan Chacon","CF","BOS",,24,"18.5027777","20 / 50",,,"20 / 50","40 / 50","60 / 55","45 / 55",,,,"40","sa3014676"
"Danny De Andrade","SS","MIN",,27,"17.1527777","25 / 50",,50,"20 / 40","30 / 45","50 / 50","40 / 50",,,,"40",
"Cameron Cannon","2B","BOS",,25,"23.6361111","35 / 55",55,50,"30 / 40","50 / 50","45 / 40","40 / 45",87,,102,"40","sa3011467"
"Will Holland","2B","MIN",,28,"23.1305555","30 / 40",50,40,"30 / 45","50 / 50","70 / 70","30 / 40",83,0.25,103,"40","sa3011204"
"Nick Decker","RF","BOS",,26,"21.675","30 / 40",55,40,"35 / 50","55 / 60","50 / 45","40 / 50",87,0.29,101,"40","sa3008590"
"Travis Blankenhorn","2B","MIN",,29,"24.8388888","45 / 50",50,40,"40 / 45","55 / 55","40 / 40","40 / 40",91,0.51,106,"40","18395"
"Edouard Julien","LF","MIN",,30,"22.0972222","30 / 40",55,45,"35 / 55","55 / 55","40 / 40","40 / 45",88,,103,"40","sa3014445"
"Matthew Lugo","SS","BOS",,31,"20.0722222","30 / 45",45,50,"30 / 40","40 / 50","55 / 55","45 / 50",80,0.13,97,"40","sa1169598"
"Freddy Valdez","RF","BOS",,32,"19.4972222","25 / 50",,,"20 / 55","50 / 55","40 / 30","40 / 45",85,,101,"40","sa3009190"
"Bryan Gonzalez","RF","BOS",,33,"19.7138888","20 / 45",50,40,"25 / 55","50 / 60","40 / 30","35 / 45",87,0.43,102,"40","sa3008805"
"Jordan Brewer","CF","HOU",,14,"23.8444444","30 / 40",45,40,"30 / 50","55 / 55","70 / 70","40 / 50",91,,108,"40","sa3011737"
"Miguel Bleis","RF","BOS",,35,"17.2611111","20 / 40",,40,"20 / 50","45 / 60","50 / 50","40 / 50",,,,"40",
"Grae Kessinger","SS","HOU",,16,"23.7777777","35 / 45",55,45,"30 / 35","45 / 45","50 / 50","50 / 50",86,,102,"40","sa3010327"
"Chas McCormick","RF","HOU",,18,"26.1277777","50 / 50",55,55,"45 / 45","55 / 55","50 / 50","55 / 55",90,,105,"40","19599"
"Dauri Lorenzo","SS","HOU",,19,"18.6","25 / 55",,,"25 / 45","40 / 50","50 / 50","45 / 50",,,,"40","sa3014685"
"Zach Daniels","CF","HOU",,21,"22.3666666","30 / 35",,,"35 / 60","70 / 70","60 / 60","40 / 55",,,,"40",
"Luis Santana","2B","HOU",,24,"21.875","35 / 60",45,60,"30 / 35","40 / 40","40 / 40","40 / 45",84,,99,"40","sa921577"
"Shervyen Newton","SS","NYM",,11,"22.1138888","30 / 40",50,30,"30 / 50","55 / 70","50 / 50","40 / 50",87,,103,"40","sa917119"
"Jaylen Palmer","3B","NYM",,12,"20.8472222","30 / 40",45,30,"35 / 50","50 / 60","50 / 40","40 / 45",91,,104,"40","sa3008297"
"Jimmy Glowenke","2B","SFG",,24,"22","35 / 60",60,60,"30 / 35","45 / 45","40 / 40","40 / 45",,,,"40","sa3014548"
"Carlos Cortes","2B","NYM",,19,"23.9305555","40 / 45",50,60,"45 / 50","55 / 55","40 / 40","20 / 30",88,,102,"40","sa3008079"
"Dilan Rosario","SS","SFG",,29,"19.9694444","20 / 40",40,40,"25 / 50","50 / 55","60 / 55","30 / 40",86,0.28,104,"40","sa3010165"
"Aeverson Arteaga","SS","SFG",,30,"18.2194444","20 / 50",,,"20 / 40","30 / 45","60 / 55","45 / 60",,,,"40","sa3014707"
"Grant McCray","CF","SFG",,32,"20.4944444","30 / 55",55,50,"30 / 40","40 / 50","60 / 60","45 / 50",89,0.37,104,"40","sa3010042"
