Name,Pos,Org,Top 100,Org Rk,Age,Hit,Pitch Sel,Bat Ctrl,Game,Raw,Spd,Fld,Avg EV,Hard Hit%,Max EV,FV,playerId
"Patrick Bailey","C","SFG",,6,"22.0166666","35 / 60",55,55,"30 / 40","50 / 50","30 / 30","40 / 50",87,,,"45+","sa3014442"
"Hunter Bishop","CF","SFG",,7,"22.9444444","30 / 45",45,45,"35 / 60","65 / 70","60 / 55","45 / 50",91,,110,"45+","sa3011413"
"Brett Baty","3B","NYM",,5,"21.5611111","35 / 55",55,50,"30 / 60","65 / 65","45 / 40","45 / 50",91,,106,"45+","sa3010869"
"Antonio Gomez","C","NYY",,10,"19.5611111","25 / 50",,40,"20 / 45","45 / 50","40 / 30","40 / 55",87,,102,"45+","sa3008746"
"Jordan Walker","3B","STL",,5,"19.0361111","25 / 50",45,50,"25 / 60","60 / 70","40 / 30","40 / 50",,,,"45+","sa3014464"
"Ford Proctor","C","TBR",,19,"24.5027777","35 / 60",55,55,"30 / 35","40 / 40","45 / 45","40 / 45",88,0.41,104,"45","sa876187"
"Alejandro Pie","SS","TBR",,20,"19.3472222","20 / 45",40,50,"20 / 55","45 / 60","60 / 55","40 / 50",80,0.17,102,"45","sa3008754"
"Angel Martinez","SS","CLE",,11,"19.3694444","25 / 55",50,60,"20 / 45","40 / 50","60 / 60","40 / 50",84,0.11,98,"45","sa3008762"
"Owen Miller","SS","CLE",,14,"24.5555555","40 / 55",50,55,"30 / 40","50 / 50","45 / 45","45 / 50",86,0.38,103,"45","24655"
"Jonathan India","3B","CIN",,7,"24.4722222","50 / 60",60,50,"40 / 45","50 / 50","50 / 45","45 / 50",87,0.35,106,"45","21523"
"Wilman Diaz","SS","LAD",,9,"17.5555555","25 / 60",,60,"20 / 50","40 / 50","60 / 60","40 / 50",,,,"45",
"Tyler Callihan","2B","CIN",,8,"20.9527777","35 / 55",40,60,"30 / 50","55 / 60","30 / 30","30 / 40",88,0.37,105,"45","sa1169610"
"Kody Hoese","3B","LAD",,10,"23.8944444","35 / 50",50,50,"35 / 55","50 / 50","45 / 40","45 / 50",88,0.35,,"45","sa3010021"
"Rece Hinds","RF","CIN",,9,"20.75","30 / 40",,,"35 / 60","65 / 70","45 / 40","40 / 50",87,,105,"45","sa1169587"
"Diego Cartaya","C","LAD",,11,"19.7444444","20 / 45",40,50,"25 / 55","50 / 60","40 / 30","40 / 50",86,0.3,105,"45","sa3008742"
"Bryson Stott","SS","PHI",,5,"23.6638888","45 / 55",45,60,"30 / 40","50 / 50","55 / 50","40 / 45",85,0.19,101,"45","sa3011443"
"Michael Siani","CF","CIN",,10,"21.8861111","35 / 50",45,55,"20 / 30","40 / 45","60 / 60","55 / 70",83,0.2,100,"45","sa3008182"
"Alex De Jesus","3B","LAD",,12,"19.2027777","20 / 40",35,55,"20 / 55","45 / 60","40 / 30","40 / 50",87,0.42,106,"45","sa3008842"
"Rafael Marchan","C","PHI",,6,"22.2777777","55 / 60",50,70,"20 / 30","40 / 40","45 / 40","45 / 50",83,0.12,101,"45","21646"
"Miguel Vargas","1B","LAD",,13,"21.55","35 / 60",55,60,"30 / 50","50 / 55","45 / 40","40 / 45",89,0.36,104,"45","sa3006896"
"Mickey Moniak","CF","PHI",,8,"23.0611111","50 / 55",35,55,"30 / 40","45 / 45","55 / 55","50 / 50",88,0.36,106,"45","19956"
"Zach McKinstry","2B","LAD",,15,"26.1","50 / 50",40,55,"35 / 35","45 / 45","55 / 55","60 / 60",88,0.38,104,"45","19392"
"Luis Garcia","SS","PHI",,9,"20.6222222","30 / 55",50,50,"30 / 35","45 / 50","55 / 55","50 / 55",81,0.12,101,"45","sa3007295"
"Simon Muzziotti","CF","PHI",,10,"22.4388888","45 / 60",35,60,"30 / 35","40 / 45","60 / 60","45 / 55",84,0.21,102,"45","sa917376"
"Jonah Heim","C","TEX",,7,"25.9388888","50 / 50",40,60,"30 / 30","50 / 50","30 / 30","55 / 55",88,,103,"45","16930"
"Sam Huff","C","TEX",,10,"23.3916666","30 / 35",35,45,"50 / 55","70 / 70","20 / 20","45 / 50",91,,109,"45","22209"
"Leody Taveras","CF","TEX",,11,"22.7416666","40 / 50",45,55,"30 / 35","50 / 50","70 / 70","70 / 70",86,0.41,107,"45","18900"
"Pavin Smith","1B","ARI",,10,"25.3305555","45 / 55",60,65,"40 / 45","50 / 50","40 / 40","40 / 40",89,0.41,106,"45","19892"
"Daniel Johnson","RF","CLE",,16,"25.9","40 / 45",45,45,"40 / 45","55 / 55","70 / 70","50 / 50",89,0.39,116,"45","19643"
"Ji-hwan Bae","SS","PIT",,10,"21.8583333","50 / 70",50,70,"30 / 35","35 / 40","65 / 60","40 / 50",85,0.18,99,"45","sa3006895"
"Hudson Head","CF","PIT",,11,"20.1583333","30 / 60",50,60,"20 / 45","45 / 55","60 / 60","45 / 55",89,0.37,108,"45","sa3010889"
