Name,Pos,Org,Top 100,Org Rk,Age,TJ Date,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,playerId
"Nick Mears","SIRP","PIT",,27,"24.6611111",,"Rise","70 / 70","","50 / 55","","20 / 35",2400,2450,"94-97","98","40+","25376"
"Tucker Davidson","MIRP","ATL",,13,"25.1944444",,"Rise","45 / 55","50 / 55","55 / 55","40 / 40","40 / 40",2200,2500,"91-95","98","40+","19871"
"Freddy Tarnok","SP","ATL",,14,"22.5305555",,"Rise","45 / 55","","50 / 55","45 / 55","35 / 50",2450,2275,"89-92","96","40+","sa3005175"
"CJ Van Eyk","SP","TOR",,10,"22.7222222",,"Rise","50 / 50","50 / 55","45 / 50","50 / 55","30 / 45",2250,,"91-94","96","40+","sa3014713"
"Julian Merryweather","SIRP","TOR",,12,"29.6416666","3/10/18","Rise","70 / 70","50 / 50","45 / 45","60 / 60","45 / 45",2200,2550,"96-98","99","40+","16703"
"Helcris Olivarez","SP","COL",,9,"20.825",,"Tail","55 / 60","","50 / 55","30 / 45","30 / 45",2350,2550,"94-96","98","40+","sa3002965"
"Sam Weatherly","SP","COL",,11,"22.0194444",,"Tail","55 / 60","55 / 60","","30 / 45","30 / 45",2350,2650,"92-95","97","40+","sa3014455"
"Ryan Rolison","SP","COL",,12,"23.9",,"Cut/Rise","40 / 45","","60 / 60","40 / 50","35 / 45",2250,2600,"89-94","96","40+","sa3008244"
"Justin Lange","SP","SDP",,7,"19.7333333",,,"55 / 60","40 / 50","","40 / 50","20 / 45",,,"92-97","100","40+","sa3014517"
"Lucas Gilbreath","SIRP","COL",,13,"25.25",,"Cut/Rise","60 / 60","50 / 55","","","40 / 40",2300,,"93-96","97","40+","21290"
"Reiss Knehr","MIRP","SDP",,8,"24.5888888",,"Tail","45 / 50","45 / 50","","50 / 55","40 / 45",,,"91-94","95","40+","sa3006952"
"Anderson Espinoza","MIRP","SDP",,9,"23.2388888","4/22/19*",,"55 / 55","","55 / 55","50 / 55","30 / 40",2200,2750,"93-96","97","40+","sa872856"
"Andry Lara","SP","WSN",,4,"18.4138888",,,"45 / 55","50 / 55","","40 / 50","25 / 55",,,"89-93","96","40+","sa3014716"
"Alex Lange","SIRP","DET",,11,"25.675",,"Rise","60 / 60","60 / 60","50 / 50","55 / 55","35 / 40",2300,2150,"95-97","98","40+","19883"
"Seth Romero","MIRP","WSN",,6,"25.1277777","8/30/18","Sink","45 / 50","55 / 60","","55 / 60","40 / 40",2300,2300,"91-93","96","40+","21333"
"Matt Cronin","SIRP","WSN",,7,"23.7083333",,"Rise","60 / 65","","55 / 60","40 / 45","40 / 45",2400,2550,"93-95","96","40+","sa3011463"
"Cole Henry","SIRP","WSN",,8,"21.8888888",,"Tail","55 / 60","","50 / 60","40 / 50","30 / 45",,,"91-96","96","40+","sa3014446"
"Brandon Williamson","MIRP","SEA",,12,"23.175",,"Rise","55 / 55","50 / 55","55 / 60","45 / 50","35 / 40",2250,2650,"92-95","97","40+","sa3011494"
"Wyatt Mills","SIRP","SEA",,13,"26.3611111",,"Sink/Tail","50 / 50","55 / 55","","45 / 50","50 / 55",2050,2550,"92-94","95","40+","20010"
"Josh Winder","SP","MIN",,13,"24.65",,"Rise","50 / 55","50 / 50","45 / 50","45 / 50","40 / 45",2150,2400,"91-93","96","40+","sa3007993"
"Eduard Bazardo","SIRP","BOS",,11,"25.7611111",,"Rise","55 / 60","","70 / 70","","30 / 35",2250,2900,"94-96","98","40+","20997"
"Cole Sands","SP","MIN",,14,"23.8833333",,"Tail","50 / 55","","55 / 55","45 / 50","40 / 45",2450,3000,"91-94","96","40+","sa3008611"
"Brayan Bello","SIRP","BOS",,12,"22.05",,"Tail","55 / 60","40 / 45","","55 / 60","30 / 40",2250,2400,"92-95","98","40+","sa3005436"
"Jay Groome","SP","BOS",,13,"22.7833333","5/15/18","Rise","50 / 50","40 / 45","55 / 55","45 / 50","40 / 50",2250,2500,"92-94","95","40+","sa917925"
"Thaddeus Ward","MIRP","BOS",,14,"24.3861111",,"Tail","45 / 50","50 / 55","45 / 45","40 / 45","40 / 45",2250,2700,"90-94","96","40+","sa3008098"
"Aldo Ramirez","SP","BOS",,15,"20.0805555",,"Rise","45 / 50","45 / 50","","45 / 55","35 / 60",2150,2200,"90-95","96","40+","sa3005371"
"Garrett Whitlock","MIRP","BOS",,17,"24.9833333","7/25/19","Tail","55 / 55","50 / 50","","60 / 60","50 / 55",2250,2050,"92-95","96","40+","20191"
"Peter Solomon","SP","HOU",,9,"24.8027777","6/1/19",,"50 / 50","50 / 50","50 / 50","55 / 60","40 / 45",2350,2550,"90-94","95","40+","20476"
"Tyler Ivey","MIRP","HOU",,10,"25.0638888",,"Rise","55 / 55","45 / 50","60 / 60","45 / 50","40 / 40",2350,2700,"90-92","95","40+","20237"
"Forrest Whitley","MIRP","HOU",,11,"23.7222222","3/17/21","Rise","60 / 60","55 / 55","60 / 60","60 / 60","30 / 40",2500,2900,"93-97","99","40+","sa917930"
"Shawn Dubin","SIRP","HOU",,13,"25.7472222",,"Rise","55 / 55","60 / 60","50 / 50","","40 / 40",2300,2750,"92-95","97","40+","sa3007248"
"Camilo Doval","SIRP","SFG",,14,"23.9194444",,"Cut","","55 / 55","","","20 / 30",2750,2700,"93-98","99","40+","21992"
"Nick Swiney","SP","SFG",,17,"22.3138888",,"Rise","40 / 45","","50 / 55","50 / 55","35 / 55",2050,2700,"88-92","93","40+","sa3014542"
"Sam Delaplane","SIRP","SFG",,19,"26.1888888","4/13/20","Rise","60 / 60","70 / 70","","","40 / 45",2150,2800,"92-95","97","40+","sa3004222"
"Thomas Szapucki","MIRP","NYM",,10,"24.9805555","7/19/17","Tail","50 / 55","","60 / 60","40 / 45","40 / 45",2200,2400,"88-94","96","40+","sa875054"
"Blake Rivera","SIRP","SFG",,20,"23.4055555",,"Cut","55 / 55","","70 / 70","40 / 40","40 / 40",2600,2800,"92-96","97","40+","sa3008261"
"Sean Hjelle","SP","SFG",,21,"24.0777777",,"None","50 / 50","","45 / 50","45 / 50","45 / 55",2500,2200,"91-94","96","40+","sa3007989"
"Kervin Castro","SIRP","SFG",,22,"22.3277777","5/1/17","Rise","60 / 60","","50 / 55","","30 / 40",2250,,"93-96","98","40+","sa916834"
"Manuel Mercedes","SP","SFG",,23,"18.7055555",,"Tail","50 / 60","40 / 50","","35 / 60","20 / 45",,,"94-97","98","40+",
"Angel Zerpa","SP","KCR",,10,"21.6888888",,"Tail","40 / 40","","50 / 55","55 / 60","35 / 60",,,"91-93","94","40+","sa3002993"
"Jonathan Bowlan","SP","KCR",,11,"24.5111111",,"Sink","50 / 55","50 / 55","","40 / 45","50 / 60",2250,2300,"91-95","97","40+","sa3006973"
"John McMillon","SIRP","KCR",,12,"23.3555555",,"Rise","60 / 70","50 / 55","","","30 / 35",,,"94-96","97","40+",
"Austin Cox","MIRP","KCR",,15,"24.1861111",,"Rise","45 / 50","50 / 50","50 / 50","50 / 55","30 / 40",2200,2450,"89-93","95","40+","sa3007777"
"Jake Brentz","SIRP","KCR",,16,"26.725",,"Tail","60 / 60","50 / 55","","40 / 40","50 / 50",2350,2150,"95-97","100","40+","17783"
"T.J. Sikkema","SP","NYY",,15,"22.8611111",,"Tail","45 / 50","50 / 55","","40 / 50","45 / 60",2250,2300,"90-94","95","40+","sa3011191"
"Tink Hence","SP","STL",,12,"18.8305555",,"Rise","45 / 55","","50 / 60","40 / 50","25 / 55",,,"90-94","96","40+","sa3014709"
"Ian Bedell","SP","STL",,13,"21.75",,"Rise/Tail","40 / 50","","55 / 60","40 / 50","35 / 60",,,"88-93","94","40+","sa3014538"
"Davis Daniel","SIRP","LAA",,15,"23.9833333","4/25/19","Rise","45 / 55","","55 / 60","","30 / 40",,,"90-93","94","40","sa3015037"
"Matthew Thompson","SP","CHW",,10,"20.8166666",,"Rise","45 / 55","","45 / 55","40 / 50","30 / 45",2300,2100,"91-94","96","40","sa3011866"
"Alejandro Hidalgo","SP","LAA",,16,"18.0361111",,"Rise","40 / 50","","50 / 60","40 / 50","20 / 45",,,"92-94","97","40",
"Andrew Dalquist","SP","CHW",,11,"20.5611111",,"Tail","40 / 45","40 / 50","45 / 55","40 / 50","35 / 55",2100,2300,"91-93","95","40","sa3011841"
"Hector Yan","MIRP","LAA",,17,"22.1083333",,"Tail","50 / 65","45 / 45","","40 / 45","30 / 40",2150,2450,"90-94","96","40","sa917194"
"Jonathan Stiever","SP","CHW",,12,"24.0638888",,"Sink","40 / 45","45 / 50","45 / 45","50 / 55","45 / 55",2350,2300,"90-94","95","40","24584"
"Josh Fleming","SP","TBR",,28,"25.0472222",,"Sink/Tail","40 / 40","","","50 / 50","70 / 70",1850,1850,"89-92","94","40","20418"
"Packy Naughton","MIRP","LAA",,19,"25.1361111",,"Tail","45 / 45","45 / 50","40 / 40","50 / 50","55 / 55",2000,2100,"87-92","94","40","sa913120"
"Norge Vera","RHP","CHW",,14,"21.0111111",,,"45 / 50","","50 / 55","40 / 50","40 / 50",,,"90-94","97","40",
"John Doxakis","MIRP","TBR",,30,"22.7916666",,"SInk/Tail","40 / 45","50 / 55","","50 / 55","45 / 60",2250,2400,"88-92","93","40","sa1115967"
"Michael Mercado","SP","TBR",,31,"22.1388888",,,"45 / 50","40 / 50","45 / 55","","45 / 55",2200,2250,"90-94","95","40","sa3005024"
"Aaron Hernandez","SIRP","LAA",,22,"24.5083333",,,"45 / 50","50 / 50","50 / 55","40 / 50","30 / 40",2200,2800,"91-95","97","40","sa3008599"
"Sadrac Franco","SIRP","LAA",,23,"21.0027777",,,"50 / 55","","50 / 55","40 / 45","30 / 40",2300,,"92-96","97","40","sa3005073"
"Neraldo Catalina","SIRP","TBR",,34,"20.9555555",,"Tail","60 / 70","45 / 55","","","30 / 35",2300,2200,"93-96","97","40","sa1172730"
"Kade McClure","MIRP","CHW",,19,"25.3138888",,"Rise","50 / 55","50 / 55","45 / 50","","45 / 50",2300,2350,"92-94","95","40","sa915622"
"Hunter Barnhart","SP","TBR",,35,"19.3083333",,,"40 / 55","","50 / 55","30 / 45","20 / 45",,,"88-92","94","40","sa3014467"
"Tanner Dodson","SIRP/CF","TBR",,36,"24.0722222",,,"55 / 60","55 / 60","","45 / 50","40 / 45",2250,2450,"91-95","97","40","sa3007008"
"Tyler Johnson","SIRP","CHW",,23,"25.7888888",,"Cut","60 / 60","","55 / 55","40 / 45","30 / 40",2350,2350,"93-95","97","40","sa915688"
"Tommy Romero","MIRP","TBR",,39,"23.9083333",,"Cut/Rise","50 / 50","","45 / 45","45 / 50","50 / 55",2200,,"90-93","94","40","sa3004469"
"Michael Plassmeyer","SP","TBR",,40,"24.5833333",,"Tail","45 / 45","45 / 45","45 / 45","50 / 55","55 / 60",2300,2150,"87-91","93","40","sa3006962"
"Jose De Leon","MIRP","CIN",,16,"28.8277777","3/13/18","Sink","55 / 55","45 / 45","","60 / 60","40 / 40",2100,2500,"93-96","98","40","15463"
"Vladimir Gutierrez","MIRP","CIN",,17,"25.7138888",,"Tail","55 / 55","60 / 60","60 / 60","50 / 55","45 / 50",2100,2600,"90-93","97","40","19278"
"Ryan Hendrix","SIRP","CIN",,18,"26.4694444",,"Sink","55 / 55","60 / 60","","","35 / 40",2250,2550,"93-96","98","40","19535"
"Bryce Bonnin","SIRP","CIN",,19,"22.65",,"Sink","55 / 55","55 / 60","","30 / 45","30 / 40",2150,2400,"93-96","97","40","sa3014453"
"Victor Gonzalez","SIRP","LAD",,21,"25.5527777","1/1/17","Sink/Tail","60 / 60","60 / 60","","45 / 45","40 / 40",2150,2550,"93-95","97","40","16408"
"Riley O'Brien","SIRP","CIN",,20,"26.3305555",,"Tail","55 / 55","","55 / 60","45 / 50","40 / 50",2300,2600,"92-95","97","40","sa3004210"
"Nick Robertson","SIRP","LAD",,22,"22.8861111","3/1/17","Rise","60 / 60","","60 / 60","","30 / 40",,,"93-96","98","40","sa3011248"
"Connor Brogdon","SIRP","PHI",,17,"26.35",,"Rise","55 / 55","","","60 / 60","50 / 50",2450,2350,"93-95","97","40","21205"
"Graham Ashcraft","SIRP","CIN",,22,"23.3166666",,"Rise","55 / 60","50 / 55","55 / 60","40 / 50","40 / 50",2600,2750,"94-96","97","40","sa918274"
"Kendall Williams","SP","LAD",,24,"20.7805555",,"Rise","50 / 55","","45 / 55","45 / 50","30 / 40",2150,2500,"90-94","96","40","sa3011674"
"James McArthur","SP","PHI",,18,"24.4833333",,"Rise","55 / 60","50 / 55","50 / 55","35 / 40","30 / 45",2400,2800,"93-95","96","40","sa3007715"
"Landon Knack","SIRP","LAD",,25,"24.3888888",,"Sink","60 / 60","50 / 55","","","30 / 40",,,"94-97","98","40","sa3014518"
"Gunner Mayer","SP","PHI",,19,"20.8555555",,"Rise","45 / 55","50 / 60","","30 / 45","30 / 50",2400,2350,"90-94","95","40","sa3011199"
"Jimmy Lewis","SP","LAD",,26,"20.5916666",,"Sink","40 / 40","","45 / 50","45 / 55","35 / 55",2250,2250,"90-92","93","40","sa3014533"
"Eduar Segovia","SP","PHI",,21,"20.4027777",,"Tail","45 / 50","50 / 55","","30 / 45","30 / 50",2250,2300,"92-95","97","40","sa3008374"
"Jerming Rosario","SP","LAD",,28,"19.075",,"Tail","40 / 50","","40 / 45","50 / 60","25 / 60",2200,2250,"89-92","94","40","sa3008678"
"Adonis Medina","SP","PHI",,22,"24.4638888",,"Sink/Tail","40 / 40","45 / 45","","55 / 60","50 / 55",2200,2500,"90-94","96","40","19903"
"Alex Vesia","SIRP","LAD",,29,"25.15",,,"45 / 45","","45 / 45","60 / 60","45 / 45",2400,2250,"91-94","95","40","25007"
"Damon Jones","SIRP","PHI",,23,"26.6805555",,"Rise","55 / 55","60 / 60","","","30 / 35",2350,2700,"91-94","96","40","sa3004862"
"Carlos Duran","SIRP","LAD",,30,"19.8472222",,"Sink","50 / 55","","55 / 60","40 / 50","25 / 50",2050,2700,"89-94","96","40","sa3006404"
"Starlyn Castillo","SP","PHI",,24,"19.2805555",,"Tail","55 / 60","55 / 60","","40 / 50","30 / 45",2250,2500,"93-95","97","40","sa3011608"
"Ethan Lindow","SP","PHI",,25,"22.6388888",,"Tail","50 / 50","45 / 45","50 / 50","40 / 45","45 / 55",2200,2350,"87-90","92","40","sa3005028"
"Edwin Uceta","SP","LAD",,35,"23.4055555",,"Tail","45 / 45","","50 / 55","50 / 55","45 / 55",2350,2300,"89-92","94","40","20539"
"J.B. Bukauskas","SIRP","ARI",,21,"24.65",,"Tail","50 / 50","45 / 45","","70 / 70","40 / 40",2500,2450,"92-94","96","40","20491"
"Conor Grammes","SIRP","ARI",,22,"23.8777777",,"Tail","65 / 70","60 / 70","","40 / 45","20 / 30",2200,2550,"94-97","99","40","sa3011651"
"Tyler Phillips","SP","TEX",,29,"23.6055555",,,"40 / 40","40 / 45","50 / 50","55 / 55","55 / 70",2200,2300,"92-94","96","40","sa875646"
"Kyle Cody","SIRP","TEX",,30,"26.8222222",,,"60 / 60","","60 / 60","45 / 50","40 / 40",2200,2550,"93-96","98","40","19686"
"Taylor Widener","SP","ARI",,27,"26.6138888",,"Cut","40 / 40","45 / 45","","60 / 60","50 / 55",2250,2150,"91-96","98","40","19266"
"Humberto Mejia","MIRP","ARI",,28,"24.2555555",,"Rise","50 / 50","45 / 45","55 / 55","40 / 45","40 / 45",2300,2350,"90-93","95","40","20739"
"Jon Duplantier","SP","ARI",,29,"26.9",,"Tail","40 / 40","55 / 55","50 / 50","50 / 55","50 / 55",2250,2600,"91-94","96","40","19546"
"Mason Englert","SP","TEX",,33,"21.5944444",,,"40 / 45","","50 / 55","40 / 50","30 / 50",,,"90-93","95","40","sa3015036"
"Liam Norris","SP","ARI",,31,"19.8111111",,"Rise","40 / 50","45 / 50","50 / 55","30 / 40","20 / 45",,,"90-94","95","40","sa3014543"
"Matt Peacock","MIRP","ARI",,32,"27.2722222",,"Sink","55 / 55","45 / 50","","50 / 55","45 / 45",2100,2800,"90-94","95","40","20339"
"Cole Ragans","SP","TEX",,36,"23.4805555",,,"45 / 45","","40 / 45","60 / 60","40 / 60",2100,2000,"91-94","96","40","sa917938"
"Ryan Garcia","SP","TEX",,37,"23.3638888","43891","Rise","40 / 40","50 / 55","45 / 45","40 / 45","30 / 50",2300,2350,"91-93","94","40","sa3011190"
"Josh Green","SP","ARI",,34,"25.7638888",,"Sink","50 / 50","50 / 50","55 / 55","45 / 50","45 / 50",2050,2550,"92-95","96","40","sa3006701"
"Hunter Gaddis","MIRP","CLE",,29,"23.1555555",,"Rise","45 / 50","50 / 55","40 / 40","55 / 60","40 / 50",2250,2350,"90-93","96","40","sa3010621"
"Tekoah Roby","SP","TEX",,38,"19.7138888",,,"40 / 50","","40 / 45","45 / 55","25 / 50",,,"90-92","94","40","sa3014519"
"Marc Church","SIRP","TEX",,41,"20.1805555",,"Rise","60 / 60","50 / 55","","","35 / 55",,,"94-96","97","40","sa3015080"
"Nick Sandlin","SIRP","CLE",,33,"24.4027777",,"Tail","45 / 45","50 / 55","50 / 50","50 / 55","50 / 60",2200,2750,"90-93","95","40","20517"
"Trevor Stephan","SIRP","CLE",,34,"25.5277777",,"Tail","60 / 60","55 / 60","","40 / 45","40 / 50",2350,2500,"90-94","97","40","19932"
"Alex Speas","SIRP","TEX",,43,"23.2527777",,,"70 / 70","","70 / 70","","20 / 30",2350,2700,"95-97","99","40","sa917945"
"Cole Uvila","SIRP","TEX",,44,"27.3472222",,"Rise","50 / 50","","60 / 60","55 / 55","30 / 40",2550,,"91-94","96","40","sa3006804"
"Nic Laio","SIRP","TEX",,45,"23.8527777",,"Tail","50 / 50","50 / 60","","35 / 45","45 / 50",,,"93-94","95","40","sa3009861"
"Raymond Burgos","MIRP","CLE",,37,"22.5166666","9/7/16","Tail","50 / 50","40 / 45","50 / 50","55 / 55","45 / 50",2200,2350,"91-94","96","40","sa918469"
"Michael Burrows","SIRP","PIT",,28,"21.575",,"Rise","50 / 55","","55 / 60","","30 / 40",2550,2800,"90-94","96","40","sa3008517"
"Nick Garcia","SP","PIT",,29,"22.125",,"Rise","45 / 50","45 / 50","40 / 45","40 / 50","30 / 50",,,"91-94","98","40","sa3014501"
"Cody Poteet","SP","MIA",,24,"26.8472222",,"Sink/Tail","45 / 45","50 / 50","45 / 45","55 / 55","50 / 50",,,"92-95","96","40","18769"
"Wil Crowe","MIRP","PIT",,30,"26.7388888","4/1/15","Cut","55 / 55","50 / 50","50 / 55","55 / 55","40 / 45",2350,2800,"91-94","96","40","19800"
"Evan Fitterer","SP","MIA",,25,"20.9416666",,,"45 / 50","45 / 50","50 / 55","40 / 50","35 / 55",2350,2550,"90-92","94","40","sa3011433"
"Steven Jennings","SP","PIT",,31,"22.5611111",,"Rise","40 / 45","50 / 55","45 / 50","35 / 45","35 / 60",2500,3000,"88-92","93","40","sa3004812"
"Jake Eder","SIRP","MIA",,26,"22.6555555",,,"55 / 55","","55 / 60","","30 / 40",,,"92-95","97","40","sa3014917"
"David Bednar","SIRP","PIT",,32,"26.6527777",,"None","60 / 60","","60 / 60","","35 / 40",2400,2500,"92-95","97","40","19569"
"Austin Roberts","SP","PIT",,33,"22.8555555",,,"50 / 55","","50 / 50","55 / 60","30 / 40",2250,,"92-95","96","40","sa3010254"
"Braxton Garrett","SP","MIA",,28,"23.8333333","6/20/17",,"40 / 40","45 / 45","55 / 55","50 / 50","50 / 55",2100,2350,"91-92","96","40","21844"
"Zach McCambley","SP","MIA",,29,"22.1166666",,"Sink","40 / 45","20 / 55","70 / 70","40 / 45","30 / 45",2500,2700,"89-93","95","40","sa3014478"
"Blake Cederlind","SIRP","PIT",,35,"25.4194444","3/23/21","Sink","60 / 60","50 / 50","","","30 / 35",2150,2000,"96-98","100","40","20344"
"Zach Pop","SIRP","MIA",,30,"24.7083333","5/14/19","Sink","60 / 60","50 / 50","","","50 / 50",2150,2450,"94-96","98","40","20185"
"Santiago Florez","SIRP","PIT",,36,"21.0722222",,"Rise","50 / 60","","50 / 60","","30 / 45",2400,2800,"92-94","95","40","sa3003026"
"Chris Mokma","SP","MIA",,31,"20.3166666",,,"45 / 50","40 / 50","","45 / 55","25 / 55",2250,2200,"89-93","94","40","sa3011750"
"Max Kranick","SP","PIT",,38,"23.8722222",,"Tail","50 / 55","45 / 50","","40 / 45","45 / 45",,,"92-96","98","40","sa919118"
"Jasseel De La Cruz","SIRP","ATL",,17,"23.9416666",,"Rise","55 / 60","55 / 60","","40 / 45","40 / 40",2300,2750,"91-97","99","40","sa879559"
"Anthony Bender","SIRP","MIA",,34,"26.3388888",,"Tail","60 / 60","55 / 55","","","40 / 45",,,"96-98","99","40","19742"
"Victor Vodnik","SIRP","ATL",,18,"21.6555555",,"Rise","60 / 65","45 / 45","","50 / 55","30 / 40",2350,2200,"92-96","98","40","sa3008527"
"Josh Roberson","SIRP","MIA",,35,"25.0638888","5/31/17",,"50 / 55","55 / 60","","40 / 45","40 / 45",2300,2500,"90-93","95","40","sa3007721"
"William Woods","SIRP","ATL",,21,"22.4333333",,"Rise/Tail","55 / 60","45 / 55","","30 / 40","30 / 40",2400,,"96-99","100","40","sa3007256"
"Spencer Strider","SP","ATL",,22,"22.6027777",,"Tail","50 / 55","","50 / 55","30 / 50","35 / 50",2300,2250,"91-95","97","40",
"Patrick Weigel","SIRP","ATL",,23,"26.9083333","6/27/17","Tail","55 / 55","60 / 60","55 / 55","45 / 50","35 / 40",2350,3000,"91-95","98","40","17792"
"Ricky DeVito","SP","ATL",,24,"22.7888888",,"0.0625","50 / 50","","45 / 50","","30 / 40",2200,,"92-95","97","40","sa1116003"
"Bryce Elder","SP","ATL",,25,"22.0444444",,"0.0625","50 / 50","50 / 50","45 / 45","45 / 50","35 / 55",2100,,"90-92","94","40","sa3014515"
"Adam Kloffenstein","SP","TOR",,13,"20.7777777",,"Sink","45 / 50","50 / 55","40 / 45","40 / 50","30 / 50",2000,2300,"88-92","94","40","sa3008578"
"Eric Pardinho","SP","TOR",,16,"20.4166666","2/11/20","Sink","40 / 50","45 / 50","50 / 55","45 / 50","35 / 55",2100,2100,"90-93","94","40","sa968102"
"Joey Murray","MIRP","TOR",,17,"24.7",,"Rise","50 / 55","50 / 55","50 / 55","40 / 45","40 / 45",2450,2700,"88-91","93","40","sa3007234"
"Hagen Danner","SIRP","TOR",,21,"22.6805555",,,"60 / 60","50 / 55","","","35 / 40",,,"94-97",,"40","sa3004501"
"Jackson Rees","SIRP","TOR",,22,"26.8472222",,"Sink","50 / 50","","70 / 70","","35 / 35",2350,2750,"91-94","95","40","sa3007818"
"Ryan Feltner","SP","COL",,18,"24.7583333",,"Tail/Rise","50 / 50","50 / 50","45 / 50","50 / 55","40 / 50",2300,2650,"91-93","95","40","sa3008222"
"Trent Palmer","MIRP","TOR",,25,"22.1722222",,"Tail","45 / 50","40 / 45","35 / 40","","30 / 45",,,"92-94","96","40","sa3014491"
"Tommy Doyle","SIRP","COL",,20,"25.0944444",,"Rise","50 / 55","60 / 60","","40 / 45","45 / 50",2250,2550,"92-95","97","40","21281"
"Ethan Elliott","MIRP","SDP",,15,"24.1027777",,,"45 / 45","45 / 50","","55 / 60","45 / 60",,,"88-92","93","40","sa3010380"
"Tony Locey","SIRP","COL",,22,"22.85",,,"50 / 60","45 / 55","","30 / 40","30 / 50",,2300,"92-95","97","40","sa3011123"
"Carlos Guarate","SP","SDP",,17,"20.1805555",,,"45 / 45","","50 / 55","40 / 50","35 / 50",2300,2400,"88-91","93","40","sa3006127"
"Karl Kauffmann","SP","COL",,23,"23.8055555",,,"45 / 50","45 / 50","","50 / 55","30 / 45",,,"91-94","96","40","sa3014526"
"Efrain Contreras","SP","SDP",,18,"21.425",,,"50 / 50","45 / 50","","55 / 60","35 / 55",,,"92-94","97","40","sa3005692"
"Sam McWilliams","SIRP","SDP",,19,"25.7527777",,"Tail","60 / 60","50 / 55","","","30 / 40",2500,2500,"94-97","98","40","sa829124"
"Zac Lowther","SP","BAL",,18,"25.0972222",,"Tail","40 / 40","","45 / 45","55 / 60","45 / 50",2200,2550,"88-91","94","40","20243"
"Steven Wilson","SIRP","SDP",,20,"26.7805555","2/1/16","Rise","60 / 60","55 / 55","","30 / 30","40 / 45",2450,2750,"91-95","97","40","sa3006795"
"Reggie Lawson","SIRP","SDP",,21,"23.8416666","3/20/20",,"50 / 55","","55 / 55","45 / 50","35 / 45",2200,2300,"92-95","97","40","sa917951"
"Mason Thompson","SIRP","SDP",,22,"23.2916666","3/18/15",,"50 / 60","50 / 50","40 / 55","50 / 60","30 / 35",2350,2350,"91-95","97","40","sa917969"
"Javy Guerra","SIRP","SDP",,23,"25.6944444",,,"65 / 65","45 / 55","","","35 / 45",2450,2600,"96-98","100","40","17292"
"Carter Baumler","SP","BAL",,23,"19.3472222","10/28/2020","Rise","45 / 50","50 / 55","45 / 55","","20 / 45",,,"90-92","94","40","sa3014480"
"Nabil Crismatt","SP","SDP",,25,"26.4444444",,,"30 / 40","","45 / 45","60 / 60","55 / 60",,,"86-90","91","40","17732"
"Isaac Mattson","SIRP","BAL",,25,"25.8916666",,"Rise","55 / 55","55 / 55","","40 / 45","45 / 45",2300,2000,"92-94","96","40","20385"
"Garrett Stallings","SP","BAL",,26,"23.825",,"Sink","40 / 45","45 / 50","45 / 50","45 / 50","45 / 60",1850,2200,"88-92","93","40","sa3014457"
"Bruce Zimmermann","SP","BAL",,28,"26.3222222",,"Cut/Rise","40 / 40","50 / 55","50 / 50","40 / 45","60 / 60",2350,2600,"90-92","95","40","20370"
"Drew Rom","SP","BAL",,29,"21.4722222",,"Rise","30 / 45","50 / 55","","","45 / 55",2350,2300,"88-92","93","40","sa3007848"
"Hunter Harvey","SIRP","BAL",,30,"26.4888888","7/26/16","Rise","60 / 60","","55 / 55","","40 / 40",2400,2200,"92-97","99","40","15507"
"Kyle Bradish","SIRP","BAL",,31,"24.7305555",,"Rise","50 / 50","50 / 50","55 / 55","45 / 50","30 / 40",2250,2550,"92-94","97","40","sa3008605"
"Alexander Wells","SP","BAL",,32,"24.2722222",,"Rise","35 / 35","45 / 45","55 / 55","50 / 55","60 / 70",2250,2550,"86-89","91","40","sa919319"
"Tim Cate","SIRP","WSN",,10,"23.6805555","1/1/13","Rise","40 / 45","","60 / 60","40 / 45","45 / 45",2100,2400,"87-91","93","40","sa3007926"
"Alex Faedo","SP","DET",,17,"25.5638888","12/28/20","Tail","45 / 50","60 / 60","","40 / 45","55 / 60",2350,2700,"90-93","95","40","sa829855"
"Joan Adon","SIRP","WSN",,13,"22.8138888",,,"50 / 55","45 / 45","","50 / 55","40 / 40",2250,2150,"92-96","98","40","sa3002614"
"Paul Richan","SP","DET",,25,"24.1916666",,"Rise","40 / 40","40 / 40","45 / 45","45 / 50","55 / 60",2150,2200,"89-91","93","40","sa3008025"
"Connor Phillips","SP","SEA",,15,"20.0861111",,"Rise/Tail","50 / 60","45 / 50","50 / 55","","30 / 40",,,"90-94","98","40","sa3014433"
"Jason Foley","SIRP","DET",,27,"25.5944444",,"Tail","65 / 65","45 / 45","","","40 / 40",2250,2200,"94-97","100","40","19531"
"Zack Hess","SIRP","DET",,28,"24.2777777",,"Rise","60 / 60","55 / 60","","40 / 45","40 / 45",2500,2550,"93-95","97","40","sa3010777"
"Taylor Dollard","SP","SEA",,17,"22.3",,"Tail","40 / 45","55 / 60","45 / 50","45 / 50","35 / 60",,,"90-93","94","40","sa3014982"
"Isaiah Campbell","SP","SEA",,18,"23.8055555",,,"50 / 50","50 / 55","50 / 50","","40 / 50",2200,2300,"90-93","96","40","sa3014432"
"Wilkel Hernandez","SP","DET",,32,"22.1444444","11/15/20","Rise","50 / 55","","50 / 55","40 / 50","35 / 50",2350,2550,"90-93","96","40","sa918026"
