Name,Pos,Org,Top 100,Org Rk,Age,TJ Date,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,playerId
"Slade Cecconi","SP","ARI",109,5,"21.9472222",,"Rise/Tail","55 / 60","55 / 60","50 / 55","40 / 45","35 / 50",,,"92-96","97","50","sa3014739"
"Matthew Liberatore","SP","STL",110,4,"21.5805555",,"Sink","45 / 50","45 / 55","60 / 60","50 / 55","35 / 55",2000,2800,"92-95","97","50","sa3008163"
"Brailyn Marquez","SIRP","CHC",112,0,"22.3472222",,"Sink/Tail","70 / 80","50 / 50","","50 / 55","30 / 40",2250,2250,"93-97","100","50","21896"
"Corbin Martin","SP","ARI",114,6,"25.4361111","7/4/19","Rise","45 / 50","55 / 55","55 / 55","50 / 55","50 / 55",2400,2650,"93-95","98","50","19884"
"Miguel Yajure","SP","PIT",115,7,"23.0944444","11/22/16","Cut/Rise","50 / 55","","50 / 50","50 / 55","50 / 60",2250,2600,"91-95","97","50","21111"
"Shane McClanahan","MIRP","TBR",118,9,"24.1027777","10/29/15","Tail","65 / 65","","55 / 60","40 / 45","35 / 40",2300,2700,"93-97","100","50","21483"
"Hunter Brown","SP","HOU",119,2,"22.7666666",,"Cut/Rise","60 / 60","50 / 55","60 / 70","40 / 50","30 / 45",2300,2500,"92-95","97","50","sa3010571"
"Seth Johnson","SP","TBR",120,10,"22.7111111",,"Rise","55 / 60","50 / 60","45 / 50","40 / 45","30 / 50",2400,2650,"92-97","99","50","sa3011342"
"Brendan McKay","SP","TBR",121,11,"25.4638888",,"Sink","55 / 55","","55 / 55","50 / 55","55 / 70",2250,2050,"91-95","96","50","20186"
"Aaron Ashby","MIRP","MIL",124,0,"23.0305555",,"Tail","55 / 60","55 / 60","55 / 60","45 / 50","30 / 40",2050,2300,"90-94","96","50","sa3007225"
"Matt Canterino","MIRP","MIN",125,7,"23.475",,"Cut/Rise","50 / 55","55 / 60","50 / 55","55 / 60","40 / 45",2200,2450,"90-93","95","50","sa3011530"
"JJ Goss","SP","TBR",,16,"20.4444444",,"Tail","50 / 55","50 / 55","","","35 / 55",2600,2400,"91-94","96","45+","sa3011420"
"Ryan Pepiot","MIRP","LAD",,6,"23.7888888",,"Rise","55 / 60","","50 / 55","60 / 70","35 / 45",2450,2800,"90-93","94","45+","sa3011244"
"Clayton Beeter","SIRP","LAD",,7,"22.6555555","10/1/17","Rise","70 / 70","70 / 70","60 / 60","30 / 40","30 / 40",2550,2800,"94-97","98","45+","sa3014536"
"Lyon Richardson","SP","CIN",,6,"21.3805555",,"Rise","45 / 50","45 / 50","50 / 50","45 / 55","45 / 55",2250,2500,"89-93","95","45+","sa3007727"
"Bobby Miller","SP","LAD",,8,"22.1666666",,"Sink","60 / 65","55 / 60","","45 / 55","30 / 45",2200,2350,"92-96","98","45+","sa3014422"
"Francisco Morales","SIRP","PHI",,3,"21.6055555",,"Tail","55 / 60","60 / 70","","35 / 45","30 / 45",2500,2400,"93-96","98","45+","sa3004581"
"Cole Winn","SP","TEX",,3,"21.5277777",,,"50 / 55","45 / 50","50 / 55","50 / 55","35 / 50",2350,2500,"92-94","96","45+","sa3008662"
"Blake Walston","SP","ARI",,7,"19.9361111",,"Rise","40 / 45","40 / 45","55 / 70","45 / 55","25 / 55",2150,,"88-92","93","45+","sa3011814"
"Brennan Malone","SP","PIT",,9,"20.7416666",,"Sink","55 / 60","50 / 55","50 / 55","40 / 50","35 / 50",2300,2300,"92-96","99","45+","sa3011741"
"Reid Detmers","SP","LAA",,3,"21.9083333",,,"50 / 55","40 / 45","65 / 70","45 / 55","45 / 60",,,"89-92","94","45+","sa3014425"
"Alek Manoah","SP","TOR",,8,"23.4055555",,"Rise","60 / 60","60 / 70","","40 / 50","35 / 50",2350,2350,"94-97","98","45+","26410"
"Ryan Weathers","SIRP","SDP",,6,"21.5805555",,"Sink/Tail","50 / 55","50 / 55","","40 / 45","50 / 50",2150,2150,"88-93","97","45+","23796"
"Jackson Rutledge","SP","WSN",,1,"22.1777777",,,"70 / 70","60 / 70","45 / 50","45 / 50","30 / 40",2450,2350,"95-98","101","45+","sa3011338"
"Bryan Mata","MIRP","BOS",,3,"22.0888888",,"Sink","60 / 60","45 / 45","50 / 50","55 / 60","40 / 50",2500,2600,"93-96","99","45+","sa917784"
"Jairo Solis","SP","HOU",,3,"21.4527777","8/1/18","Cut/Rise","60 / 60","50 / 50","60 / 60","45 / 55","30 / 45",2300,2500,"92-95","97","45+","sa3003037"
"Kyle Harrison","SP","SFG",,8,"19.8138888",,"Tail","50 / 55","45 / 50","","45 / 60","25 / 55",,,"90-92","94","45+","sa3014513"
"Alec Marsh","SP","KCR",,4,"23.0583333",,,"60 / 60","50 / 55","50 / 50","45 / 50","35 / 50",2400,2350,"94-97","100","45+","sa1159950"
"Clarke Schmidt","SP","NYY",,8,"25.2916666","5/3/17","Sink","60 / 60","","70 / 70","40 / 45","45 / 45",2350,3000,"91-95","96","45+","19899"
"Yoendrys Gomez","SP","NYY",,9,"21.6388888",,"Rise/Tail","55 / 60","","50 / 55","40 / 50","40 / 55",2500,2550,"93-96","98","45+","sa3004650"
"Drew Strotman","SP","TBR",,17,"24.7555555","6/1/18",,"50 / 55","","50 / 55","30 / 40","45 / 50",2200,2550,"92-95","97","45","sa3004584"
"Joe Ryan","MIRP","TBR",,18,"25",,"Rise","60 / 60","","50 / 50","45 / 50","50 / 60",2200,2550,"90-94","96","45","sa3007584"
"Lenny Torres","SP","CLE",,10,"20.6388888","5/15/19","Tail","60 / 60","50 / 60","","40 / 50","40 / 50",2250,2400,"92-95","97","45","sa3008329"
"Jared Kelley","SP","CHW",,5,"19.6722222",,"Sink","55 / 60","","40 / 45","60 / 70","25 / 50",2300,2100,"92-96","99","45","sa3014471"
"Cole Wilcox","SP","TBR",,21,"21.8916666",,"Sink/Tail","55 / 60","55 / 60","","45 / 55","35 / 45",2100,2100,"93-97","100","45","sa3014443"
"Nick Bitsko","SP","TBR",,22,"18.9694444",,"Rise","50 / 60","","50 / 60","35 / 50","25 / 50",,,"92-95","97","45","sa3014476"
"Ethan Hankins","SP","CLE",,12,"21.0333333",,"Tail","55 / 60","50 / 55","50 / 50","45 / 50","30 / 50",2350,2500,"92-95","97","45","sa3008589"
"Sam Hentges","SIRP","CLE",,13,"24.8805555","7/5/17","Sink","65 / 65","","55 / 55","45 / 45","35 / 40",2200,2400,"91-95","99","45","18548"
"Carlos Vargas","SIRP","CLE",,15,"21.6444444",,"Sink","55 / 65","55 / 60","","35 / 45","30 / 40",2250,2400,"94-97","99","45","sa3007467"
"Erik Miller","SP","PHI",,7,"23.3111111",,"Sink","45 / 50","50 / 55","50 / 55","55 / 60","30 / 50",2350,2750,"90-95","96","45","sa3011336"
"Andre Jackson","SP","LAD",,14,"25.0944444","11/1/16","Rise","50 / 50","","50 / 50","45 / 50","45 / 50",2400,2400,"90-93","95","45","sa829605"
"Dane Dunning","SP","TEX",,6,"26.4583333","3/18/19","Sink/Tail","40 / 40","55 / 55","40 / 40","50 / 55","60 / 60",2100,2200,"90-93","94","45","19409"
"Yerry Rodriguez","SP","TEX",,8,"23.6388888",,"Tail","50 / 55","50 / 55","","50 / 55","45 / 50",2500,2700,"92-96","98","45","sa918130"
"Hans Crouse","SIRP","TEX",,9,"22.7222222",,,"60 / 60","","60 / 60","45 / 50","40 / 40",2500,2700,"94-97","98","45","sa3004642"
"Drey Jameson","SP","ARI",,8,"23.8",,"Tail","55 / 60","50 / 50","55 / 60","45 / 50","30 / 45",2300,2550,"93-96","98","45","sa3011652"
"Bryce Jarvis","SP","ARI",,9,"23.4416666",,"Rise","50 / 55","50 / 55","45 / 50","50 / 55","35 / 60",,,"92-94","97","45","sa3014437"
"Ryne Nelson","MIRP","ARI",,11,"23.3444444",,"Cut/Rise","60 / 60","55 / 60","50 / 55","40 / 50","30 / 40",2150,2500,"93-96","97","45","sa3011524"
"Tommy Henry","SP","ARI",,12,"23.85",,"Rise","45 / 50","50 / 55","","50 / 55","35 / 50",2300,2150,"88-92","93","45","sa3011673"
"Matt Tabor","SP","ARI",,13,"22.8916666",,"Rise/Tail","45 / 45","","50 / 55","55 / 60","35 / 50",2450,2450,"90-93","94","45","sa3005334"
"Joey Cantillo","SP","CLE",,17,"21.4638888",,"Rise","45 / 50","","40 / 45","55 / 60","40 / 55",2000,2400,"87-90","92","45","sa3005246"
"Cody Bolton","SP","PIT",,12,"22.9611111",,"Sink","50 / 50","55 / 55","","50 / 50","50 / 50",2450,2600,"92-95","97","45","sa3004975"
"Nick Neidert","SP","MIA",,9,"24.5416666",,,"40 / 40","45 / 45","45 / 45","60 / 60","60 / 70",2300,2250,"90-93","95","45","18699"
"Eury Perez","SP","MIA",,11,"18.1388888",,"Tail","45 / 60","","45 / 50","45 / 60","25 / 55",,,"91-94","95","45","sa3014807"
"Kyle Muller","MIRP","ATL",,7,"23.6611111",,"Rise","70 / 70","55 / 60","55 / 55","45 / 45","30 / 35",2600,2200,"95-96","98","45","sa917931"
"Bryse Wilson","SP","ATL",,9,"23.4583333",,"Rise","45 / 45","40 / 40","55 / 55","40 / 45","55 / 60",2250,2350,"92-94","96","45","19990"
"Jared Shuster","SP","ATL",,10,"22.8388888",,"Rise","55 / 60","45 / 50","","55 / 60","30 / 45",2300,2100,"93-95","97","45","sa3014483"
"Chris McMahon","SP","COL",,5,"22.3361111",,"Tail","50 / 55","50 / 55","","45 / 55","35 / 50",,,"92-95","97","45","sa3014429"
"Dean Kremer","SP","BAL",,10,"25.4111111",,"Rise","50 / 50","","55 / 55","40 / 40","55 / 60",2300,2500,"91-94","96","45","19350"
"Mike Baumann","SP","BAL",,11,"25.7361111",,"Rise","60 / 60","50 / 50","50 / 50","40 / 45","40 / 45",2350,2400,"92-95","97","45","sa829681"
"Cade Cavalli","SP","WSN",,2,"22.8083333",,,"55 / 60","55 / 55","55 / 60","40 / 50","35 / 45",,,"93-97","98","45","sa3014421"
"Joey Wentz","SP","DET",,10,"23.6638888","3/17/20","Cut/Rise","45 / 45","","45 / 50","55 / 60","45 / 55",2350,2350,"88-92","94","45","sa917946"
"Adam Macko","SP","SEA",,9,"20.4305555",,"Rise","55 / 60","55 / 55","55 / 60","","30 / 45",2400,2800,"94-96","98","45","sa3011555"
"Matt Brash","MIRP","SEA",,10,"23.0638888",,"Rise/Tail","55 / 60","55 / 60","50 / 55","40 / 45","30 / 45",,,"94-98","100","45","sa3010616"
